Date,Team 1 - Player 1,Team 1 - Player 2,Team 2 - Player 1,Team 2 - Player 2,Team 1 Score,Team 2 Score
3/4/2025,Milo,Nova,Sage,Ruby,11,6
3/4/2025,Milo,Wren,Ruby,Finn,11,4
3/4/2025,Finn,Otto,Zeke,Milo,7,11
3/4/2025,Nova,Zeke,Finn,Wren,4,11
3/4/2025,Nova,Wren,Sage,Finn,11,8
3/4/2025,Wren,Sage,Ruby,Nova,11,5
3/7/2025,Milo,Wren,Sage,Ruby,11,3
3/7/2025,Wren,Milo,Nova,Sage,11,5
3/7/2025,Sage,Ruby,Nova,Wren,5,11
3/7/2025,Ruby,Nova,Zeke,Sage,11,13
3/11/2025,Nova,Otto,Wren,Ruby,7,11
3/11/2025,Ruby,Sage,Otto,Nova,8,11
3/11/2025,Otto,Sage,Wren,Zeke,8,11
3/11/2025,Otto,Zeke,Sage,Nova,11,9
3/14/2025,Wren,Ruby,Finn,Nova,7,11
3/14/2025,Zeke,Sage,Finn,Nova,2,11
3/14/2025,Wren,Zeke,Finn,Otto,6,11
3/14/2025,Finn,Wren,Zeke,Nova,11,6
3/14/2025,Finn,Otto,Nova,Wren,11,7
3/18/2025,Sage,Nova,Ruby,Otto,11,1
3/18/2025,Finn,Sage,Ruby,Milo,8,11
3/18/2025,Milo,Finn,Wren,Zeke,11,4
3/18/2025,Nova,Otto,Finn,Zeke,9,11
3/18/2025,Milo,Zeke,Finn,Ruby,11,4
3/18/2025,Zeke,Ruby,Nova,Milo,5,11
3/21/2025,Milo,Nova,Otto,Ruby,11,5
3/21/2025,Milo,Ruby,Finn,Otto,11,9
3/21/2025,Otto,Zeke,Finn,Ruby,2,11
3/21/2025,Milo,Nova,Wren,Zeke,11,9
3/21/2025,Otto,Nova,Milo,Ruby,6,11
3/21/2025,Ruby,Wren,Otto,Nova,9,11
3/25/2025,Wren,Finn,Nova,Sage,11,4
3/25/2025,Finn,Otto,Sage,Zeke,11,7
3/25/2025,Wren,Otto,Milo,Sage,11,8
3/25/2025,Otto,Finn,Wren,Nova,11,7
3/25/2025,Finn,Wren,Nova,Sage,11,3
3/28/2025,Wren,Zeke,Ruby,Finn,11,6
3/28/2025,Ruby,Milo,Sage,Finn,11,4
3/28/2025,Milo,Zeke,Sage,Wren,11,9
3/28/2025,Otto,Sage,Milo,Ruby,9,11
3/28/2025,Nova,Sage,Milo,Otto,3,11
3/28/2025,Finn,Ruby,Sage,Wren,6,11
4/3/2025,Otto,Sage,Ruby,Milo,11,8
4/3/2025,Otto,Zeke,Wren,Ruby,11,8
4/3/2025,Nova,Milo,Zeke,Otto,11,5
4/3/2025,Ruby,Otto,Zeke,Nova,11,8
4/6/2025,Nova,Ruby,Wren,Milo,3,11
4/6/2025,Milo,Ruby,Nova,Wren,10,12
4/6/2025,Zeke,Ruby,Nova,Sage,3,11
4/6/2025,Sage,Milo,Nova,Wren,11,9
4/6/2025,Zeke,Ruby,Nova,Milo,5,11
4/9/2025,Milo,Wren,Finn,Sage,11,3
4/9/2025,Ruby,Otto,Finn,Wren,3,11
4/9/2025,Finn,Wren,Sage,Milo,11,9
4/9/2025,Ruby,Milo,Finn,Sage,16,14
4/9/2025,Otto,Sage,Finn,Ruby,7,11
4/12/2025,Otto,Zeke,Sage,Wren,4,11
4/12/2025,Wren,Finn,Otto,Nova,11,5
4/12/2025,Wren,Otto,Nova,Milo,8,11
4/12/2025,Wren,Finn,Zeke,Otto,11,3
4/16/2025,Otto,Finn,Zeke,Wren,11,5
4/16/2025,Nova,Finn,Milo,Zeke,10,12
4/16/2025,Zeke,Milo,Wren,Nova,11,9
4/16/2025,Finn,Zeke,Wren,Otto,9,11
4/19/2025,Sage,Wren,Nova,Ruby,11,4
4/19/2025,Ruby,Sage,Finn,Zeke,3,11
4/19/2025,Ruby,Sage,Finn,Milo,1,11
4/19/2025,Ruby,Finn,Sage,Nova,11,5
4/19/2025,Finn,Sage,Nova,Ruby,11,4
4/22/2025,Wren,Sage,Otto,Nova,11,7
4/22/2025,Sage,Wren,Ruby,Milo,11,9
4/22/2025,Otto,Wren,Finn,Nova,11,5
4/22/2025,Zeke,Otto,Ruby,Sage,11,7
4/22/2025,Nova,Otto,Ruby,Sage,15,13
4/25/2025,Sage,Ruby,Milo,Nova,2,11
4/25/2025,Zeke,Milo,Ruby,Sage,11,3
4/25/2025,Sage,Nova,Ruby,Milo,6,11
4/25/2025,Sage,Nova,Finn,Milo,1,11
4/25/2025,Finn,Milo,Ruby,Zeke,11,2
5/1/2025,Finn,Otto,Wren,Ruby,9,11
5/1/2025,Milo,Otto,Ruby,Finn,7,11
5/1/2025,Finn,Zeke,Milo,Ruby,11,5
5/1/2025,Nova,Finn,Wren,Zeke,4,11
5/5/2025,Milo,Ruby,Otto,Sage,11,8
5/5/2025,Ruby,Sage,Otto,Finn,6,11
5/5/2025,Sage,Ruby,Zeke,Otto,12,10
5/5/2025,Finn,Ruby,Nova,Otto,11,9
5/9/2025,Sage,Milo,Finn,Wren,11,13
5/9/2025,Ruby,Milo,Otto,Sage,11,4
5/9/2025,Ruby,Sage,Nova,Wren,3,11
5/9/2025,Sage,Ruby,Zeke,Nova,5,11
5/9/2025,Wren,Zeke,Ruby,Nova,13,11
5/9/2025,Milo,Finn,Ruby,Sage,11,3
5/12/2025,Milo,Otto,Finn,Ruby,11,6
5/12/2025,Otto,Wren,Sage,Finn,5,11
5/12/2025,Milo,Wren,Sage,Zeke,11,5
5/12/2025,Finn,Ruby,Zeke,Otto,11,7
5/12/2025,Zeke,Finn,Nova,Wren,13,15
5/15/2025,Ruby,Zeke,Milo,Otto,3,11
5/15/2025,Zeke,Ruby,Finn,Milo,1,11
